category,trans_x,trans_y,rot_0,rot_pi,rot_pi_2,rot_minus_pi_2,mirror_x,mirror_y,extra,x0,y0,x1,y1,x2,y2,x3,y3
zorro,0,0,False,True,False,False,False,False,True,1,1,1,0,0,1,0,0
zorro,0,1,False,True,False,False,False,False,True,1,2,1,1,0,2,0,1
zorro,0,2,False,True,False,False,False,False,True,1,3,1,2,0,3,0,2
zorro,1,0,False,True,False,False,False,False,True,2,1,2,0,1,1,1,0
zorro,1,1,False,True,False,False,False,False,True,2,2,2,1,1,2,1,1
zorro,1,2,False,True,False,False,False,False,True,2,3,2,2,1,3,1,2
zorro,2,0,False,True,False,False,False,False,True,3,1,3,0,2,1,2,0
zorro,2,1,False,True,False,False,False,False,True,3,2,3,1,2,2,2,1
zorro,2,2,False,True,False,False,False,False,True,3,3,3,2,2,3,2,2
butterfly,0,0,False,True,False,False,False,False,True,1,1,0,0,1,0,0,1
butterfly,0,1,False,True,False,False,False,False,True,1,2,0,1,1,1,0,2
butterfly,0,2,False,True,False,False,False,False,True,1,3,0,2,1,2,0,3
butterfly,1,0,False,True,False,False,False,False,True,2,1,1,0,2,0,1,1
butterfly,1,1,False,True,False,False,False,False,True,2,2,1,1,2,1,1,2
butterfly,1,2,False,True,False,False,False,False,True,2,3,1,2,2,2,1,3
butterfly,2,0,False,True,False,False,False,False,True,3,1,2,0,3,0,2,1
butterfly,2,1,False,True,False,False,False,False,True,3,2,2,1,3,1,2,2
butterfly,2,2,False,True,False,False,False,False,True,3,3,2,2,3,2,2,3
square,0,0,False,True,False,False,False,False,True,1,1,0,1,0,0,1,0
square,0,1,False,True,False,False,False,False,True,1,2,0,2,0,1,1,1
square,0,2,False,True,False,False,False,False,True,1,3,0,3,0,2,1,2
square,1,0,False,True,False,False,False,False,True,2,1,1,1,1,0,2,0
square,1,1,False,True,False,False,False,False,True,2,2,1,2,1,1,2,1
square,1,2,False,True,False,False,False,False,True,2,3,1,3,1,2,2,2
square,2,0,False,True,False,False,False,False,True,3,1,2,1,2,0,3,0
square,2,1,False,True,False,False,False,False,True,3,2,2,2,2,1,3,1
square,2,2,False,True,False,False,False,False,True,3,3,2,3,2,2,3,2
